node_id,news_article
6915,gossipcop-947456
6986,gossipcop-878938
7053,gossipcop-887675
7109,gossipcop-892846
7133,gossipcop-881649
7166,gossipcop-854216
7217,gossipcop-941026
7258,gossipcop-849001
7427,gossipcop-910854
7466,gossipcop-909370
7559,gossipcop-877451
7648,gossipcop-923364
7708,gossipcop-936851
7735,gossipcop-886704
7798,gossipcop-848684
7894,gossipcop-875981
8018,gossipcop-866831
8145,gossipcop-907101
8326,gossipcop-893636
8366,gossipcop-955541
8439,gossipcop-913020
8610,gossipcop-853016
8665,gossipcop-902749
8728,gossipcop-926011
8789,gossipcop-938910
8892,gossipcop-902316
9009,gossipcop-911679
9069,gossipcop-845733
9118,gossipcop-918252
9138,gossipcop-888390
9153,gossipcop-882298
9242,gossipcop-941994
9307,gossipcop-866234
9378,gossipcop-910131
9397,gossipcop-845520
9510,gossipcop-863211
9613,gossipcop-907356
9723,gossipcop-902915
9836,gossipcop-841548
9925,gossipcop-882921
9969,gossipcop-942860
10058,gossipcop-895028
10229,gossipcop-846155
10320,gossipcop-857784
10379,gossipcop-917577
10448,gossipcop-913130
10557,gossipcop-883982
10593,gossipcop-905229
10666,gossipcop-917343
10729,gossipcop-893343
10815,gossipcop-881903
10872,gossipcop-875861
10989,gossipcop-944631
11042,gossipcop-845420
11164,gossipcop-845444
11319,gossipcop-882537
11354,gossipcop-860344
11471,gossipcop-888702
11502,gossipcop-876526
11599,gossipcop-862353
11680,gossipcop-885408
11742,gossipcop-896526
11749,gossipcop-920528
11845,gossipcop-877452
11934,gossipcop-899617
12017,gossipcop-915524
12114,gossipcop-930221
12222,gossipcop-942530
12404,gossipcop-902015
12553,gossipcop-917713
12622,gossipcop-923518
12713,gossipcop-917341
12785,gossipcop-862309
12846,gossipcop-891370
12880,gossipcop-858342
12974,gossipcop-914823
13099,gossipcop-879703
13149,gossipcop-914414
13196,gossipcop-881112
13337,gossipcop-855886
13396,gossipcop-876260
13534,gossipcop-927426
13590,gossipcop-948516
13644,gossipcop-908780
13748,gossipcop-876751
13779,gossipcop-849070
13828,gossipcop-946680
14000,gossipcop-910511
14106,gossipcop-877432
14211,gossipcop-923688
14301,gossipcop-866406
14332,gossipcop-925944
14461,gossipcop-936892
14597,gossipcop-892507
14633,gossipcop-944683
14716,gossipcop-846351
14780,gossipcop-898478
14914,gossipcop-921488
15006,gossipcop-869284
15067,gossipcop-865287
15141,gossipcop-954260
15204,gossipcop-891190
15272,gossipcop-860119
15347,gossipcop-879021
15496,gossipcop-938295
15509,gossipcop-878994
15654,gossipcop-936033
15704,gossipcop-919815
15794,gossipcop-907335
15848,gossipcop-951226
15985,gossipcop-870061
16043,gossipcop-950638
16096,gossipcop-847178
16190,gossipcop-909780
16284,gossipcop-869807
16317,gossipcop-898474
16342,gossipcop-942374
16443,gossipcop-923879
16497,gossipcop-925926
16600,gossipcop-871253
16633,gossipcop-948120
16655,gossipcop-871206
16677,gossipcop-881749
16744,gossipcop-901650
16803,gossipcop-888877
16867,gossipcop-849461
17005,gossipcop-865890
17075,gossipcop-911307
17139,gossipcop-919523
17192,gossipcop-952021
17254,gossipcop-891751
17293,gossipcop-872044
17477,gossipcop-866920
17522,gossipcop-938956
17580,gossipcop-887205
17665,gossipcop-953750
17713,gossipcop-940135
17767,gossipcop-870872
17836,gossipcop-844747
17955,gossipcop-891783
18025,gossipcop-921219
18058,gossipcop-949056
18062,gossipcop-920658
18132,gossipcop-906322
18216,gossipcop-911401
18394,gossipcop-924031
18412,gossipcop-888029
18431,gossipcop-855046
18522,gossipcop-917275
18607,gossipcop-901557
18679,gossipcop-892809
18744,gossipcop-853692
18934,gossipcop-879597
18996,gossipcop-928958
19070,gossipcop-850574
19155,gossipcop-872334
19281,gossipcop-846406
19346,gossipcop-897118
19413,gossipcop-951548
19524,gossipcop-888033
19550,gossipcop-849244
19670,gossipcop-848244
19830,gossipcop-948927
19887,gossipcop-871550
19992,gossipcop-877884
20066,gossipcop-865050
20151,gossipcop-857377
20264,gossipcop-890158
20364,gossipcop-890300
20450,gossipcop-926537
20642,gossipcop-949669
20717,gossipcop-845996
20723,gossipcop-926237
20750,gossipcop-879077
20765,gossipcop-882213
20817,gossipcop-936745
20947,gossipcop-861381
21023,gossipcop-924061
21051,gossipcop-879535
21119,gossipcop-889402
21234,gossipcop-926723
21301,gossipcop-900149
21322,gossipcop-919802
21386,gossipcop-872280
21462,gossipcop-846166
21551,gossipcop-910996
21626,gossipcop-841367
21675,gossipcop-928020
21708,gossipcop-848494
21812,gossipcop-952742
21880,gossipcop-918938
21951,gossipcop-901913
22112,gossipcop-954856
22147,gossipcop-929479
22221,gossipcop-894910
22387,gossipcop-928753
22473,gossipcop-869428
22617,gossipcop-901019
22636,gossipcop-888081
22670,gossipcop-921288
22738,gossipcop-952199
22823,gossipcop-921418
22838,gossipcop-895961
22907,gossipcop-928862
22975,gossipcop-861631
23131,gossipcop-876308
23181,gossipcop-870571
23250,gossipcop-871613
23338,gossipcop-913743
23367,gossipcop-876896
23400,gossipcop-940978
23464,gossipcop-880215
23500,gossipcop-913823
23575,gossipcop-948701
23681,gossipcop-890382
23740,gossipcop-902839
23822,gossipcop-863157
23924,gossipcop-868665
24005,gossipcop-935219
24030,gossipcop-934410
24167,gossipcop-857912
24276,gossipcop-862028
24404,gossipcop-911787
24489,gossipcop-877308
24596,gossipcop-914516
24706,gossipcop-905916
24765,gossipcop-935540
24815,gossipcop-881107
24843,gossipcop-868202
24975,gossipcop-902922
25050,gossipcop-870153
25189,gossipcop-870209
25271,gossipcop-873960
25352,gossipcop-913449
25406,gossipcop-847312
25491,gossipcop-916180
25654,gossipcop-918089
25684,gossipcop-873092
25775,gossipcop-846148
25839,gossipcop-842004
25922,gossipcop-847664
26063,gossipcop-859865
26191,gossipcop-947592
26271,gossipcop-945713
26366,gossipcop-875708
26415,gossipcop-858121
26488,gossipcop-920500
26515,gossipcop-857804
26638,gossipcop-924483
26708,gossipcop-890692
26777,gossipcop-899642
26805,gossipcop-881774
26901,gossipcop-901239
26935,gossipcop-888588
27077,gossipcop-883133
27135,gossipcop-913151
27266,gossipcop-874574
27385,gossipcop-881994
27414,gossipcop-904031
27441,gossipcop-927071
27520,gossipcop-927389
27549,gossipcop-916171
27632,gossipcop-930022
27691,gossipcop-887189
27772,gossipcop-948494
27850,gossipcop-867453
27916,gossipcop-903893
28011,gossipcop-851986
28068,gossipcop-930737
28119,gossipcop-887153
28173,gossipcop-841805
28277,gossipcop-873654
28353,gossipcop-871508
28491,gossipcop-931032
28565,gossipcop-870343
28620,gossipcop-867820
28688,gossipcop-908823
28743,gossipcop-849023
28834,gossipcop-872113
28991,gossipcop-923229
29110,gossipcop-932122
29176,gossipcop-942465
29237,gossipcop-842933
29356,gossipcop-863890
29396,gossipcop-857243
29504,gossipcop-897694
29607,gossipcop-905619
29635,gossipcop-914666
29712,gossipcop-851258
29817,gossipcop-864322
29893,gossipcop-879584
29913,gossipcop-856793
29997,gossipcop-949722
30063,gossipcop-934093
30151,gossipcop-857649
30318,gossipcop-867642
30362,gossipcop-893180
30405,gossipcop-897843
30448,gossipcop-947176
30522,gossipcop-875857
30554,gossipcop-857522
30643,gossipcop-864152
30778,gossipcop-879793
30844,gossipcop-810105
30959,gossipcop-879903
30983,gossipcop-900569
31058,gossipcop-955454
31207,gossipcop-861397
31210,gossipcop-915495
31315,gossipcop-851722
31414,gossipcop-931958
31481,gossipcop-925734
31617,gossipcop-886257
31734,gossipcop-941921
31843,gossipcop-873405
31872,gossipcop-868834
32018,gossipcop-939274
32135,gossipcop-905395
32192,gossipcop-868569
32292,gossipcop-869503
32318,gossipcop-930093
32348,gossipcop-912490
32415,gossipcop-933794
32465,gossipcop-935384
32482,gossipcop-953629
32513,gossipcop-899753
32572,gossipcop-950964
32625,gossipcop-917902
32712,gossipcop-849059
32792,gossipcop-900450
32819,gossipcop-720665
32960,gossipcop-881727
33029,gossipcop-900973
33154,gossipcop-938801
33351,gossipcop-952866
33406,gossipcop-877232
33476,gossipcop-865572
33507,gossipcop-858780
33600,gossipcop-896961
33682,gossipcop-952820
33705,gossipcop-843782
33786,gossipcop-846160
33833,gossipcop-882572
33856,gossipcop-886436
33918,gossipcop-845880
34001,gossipcop-865680
34075,gossipcop-888184
34140,gossipcop-851306
34248,gossipcop-898971
34432,gossipcop-870486
34502,gossipcop-955023
34641,gossipcop-886306
34684,gossipcop-865647
34770,gossipcop-870572
34847,gossipcop-866162
34882,gossipcop-852856
35048,gossipcop-887227
35182,gossipcop-875712
35303,gossipcop-863002
35356,gossipcop-856873
35504,gossipcop-932243
35674,gossipcop-846573
35760,gossipcop-875578
35806,gossipcop-937251
35864,gossipcop-893980
35896,gossipcop-884935
35957,gossipcop-861083
36121,gossipcop-896538
36177,gossipcop-866153
36198,gossipcop-953914
36250,gossipcop-881535
36356,gossipcop-936903
36383,gossipcop-955577
36436,gossipcop-873934
36498,gossipcop-847650
36625,gossipcop-942532
36668,gossipcop-843706
36714,gossipcop-867570
36738,gossipcop-889850
36760,gossipcop-885207
36859,gossipcop-861324
36887,gossipcop-856760
36930,gossipcop-925435
36961,gossipcop-940924
37063,gossipcop-890718
37133,gossipcop-847322
37270,gossipcop-864953
37323,gossipcop-852034
37414,gossipcop-889279
37434,gossipcop-843847
37516,gossipcop-913913
37549,gossipcop-888987
37622,gossipcop-893324
37751,gossipcop-914715
37837,gossipcop-897390
37938,gossipcop-841874
38008,gossipcop-850195
38093,gossipcop-861042
38146,gossipcop-891038
38209,gossipcop-882966
38346,gossipcop-901159
38388,gossipcop-942872
38436,gossipcop-912234
38460,gossipcop-909982
38493,gossipcop-865092
38539,gossipcop-892497
38589,gossipcop-861176
38645,gossipcop-861123
38741,gossipcop-877053
38782,gossipcop-903581
38892,gossipcop-885615
38976,gossipcop-903309
39040,gossipcop-905567
39092,gossipcop-935289
39108,gossipcop-902784
39255,gossipcop-884255
39291,gossipcop-918495
39324,gossipcop-904924
39498,gossipcop-921517
39644,gossipcop-917550
39710,gossipcop-869481
39790,gossipcop-888427
39832,gossipcop-937784
39919,gossipcop-857681
40054,gossipcop-902111
40149,gossipcop-916909
40243,gossipcop-841636
40322,gossipcop-928053
40466,gossipcop-944179
40508,gossipcop-865943
40587,gossipcop-955370
40625,gossipcop-908740
40702,gossipcop-871643
40861,gossipcop-857987
40941,gossipcop-860944
41006,gossipcop-892618
41099,gossipcop-924499
41215,gossipcop-896799
41227,gossipcop-909452
41258,gossipcop-883003
41290,gossipcop-846305
41489,gossipcop-892163
41523,gossipcop-875269
41577,gossipcop-899090
41693,gossipcop-944141
41708,gossipcop-847220
41778,gossipcop-903095
41839,gossipcop-894446
41997,gossipcop-859776
42184,gossipcop-900677
42248,gossipcop-842021
42351,gossipcop-892756
42416,gossipcop-886223
42490,gossipcop-878928
42603,gossipcop-902658
42708,gossipcop-898792
42866,gossipcop-845711
42928,gossipcop-930199
42959,gossipcop-848792
43068,gossipcop-916373
43118,gossipcop-887782
43134,gossipcop-931431
43199,gossipcop-861057
43298,gossipcop-906964
43342,gossipcop-935678
43399,gossipcop-875237
43470,gossipcop-942637
43569,gossipcop-871312
43613,gossipcop-874562
43696,gossipcop-842358
43779,gossipcop-865486
43912,gossipcop-879534
43947,gossipcop-885426
44026,gossipcop-898487
44130,gossipcop-870617
44190,gossipcop-863614
44266,gossipcop-942786
44314,gossipcop-893055
44341,gossipcop-919407
44398,gossipcop-949572
44486,gossipcop-924170
44528,gossipcop-937297
44599,gossipcop-847471
44649,gossipcop-910865
44717,gossipcop-871779
44827,gossipcop-854162
44896,gossipcop-884770
45020,gossipcop-882603
45106,gossipcop-891047
45228,gossipcop-878584
45302,gossipcop-885589
45376,gossipcop-875595
45411,gossipcop-927872
45533,gossipcop-909089
45588,gossipcop-920089
45633,gossipcop-849677
45715,gossipcop-890689
45778,gossipcop-863801
45850,gossipcop-882110
45899,gossipcop-885996
45902,gossipcop-891985
45954,gossipcop-907611
46031,gossipcop-861808
46079,gossipcop-941615
46129,gossipcop-841425
46174,gossipcop-889381
46204,gossipcop-880273
46300,gossipcop-859479
46452,gossipcop-940097
46464,gossipcop-948293
46591,gossipcop-895279
46714,gossipcop-951197
46813,gossipcop-860866
46816,gossipcop-885899
46899,gossipcop-940686
46964,gossipcop-860217
47044,gossipcop-900222
47096,gossipcop-849360
47182,gossipcop-842839
47278,gossipcop-916449
47291,gossipcop-891504
47352,gossipcop-845490
47398,gossipcop-905519
47460,gossipcop-891707
47563,gossipcop-919624
47626,gossipcop-901890
47698,gossipcop-929957
47786,gossipcop-857231
47859,gossipcop-954007
47914,gossipcop-857810
48031,gossipcop-883921
48153,gossipcop-938053
48175,gossipcop-845347
48276,gossipcop-916069
48406,gossipcop-844662
48467,gossipcop-880147
48550,gossipcop-906329
48701,gossipcop-884750
48789,gossipcop-891436
48941,gossipcop-921741
49035,gossipcop-930649
49117,gossipcop-900693
49188,gossipcop-870773
49263,gossipcop-954483
49304,gossipcop-884027
49404,gossipcop-887383
49472,gossipcop-876437
49521,gossipcop-864167
49577,gossipcop-877445
49668,gossipcop-907216
49739,gossipcop-888630
49802,gossipcop-915379
49854,gossipcop-851762
49966,gossipcop-883719
50005,gossipcop-867968
50022,gossipcop-911106
50047,gossipcop-844696
50192,gossipcop-896429
50219,gossipcop-932644
50366,gossipcop-915804
50381,gossipcop-856589
50425,gossipcop-843134
50472,gossipcop-918138
50493,gossipcop-872841
50627,gossipcop-883926
50725,gossipcop-842466
50785,gossipcop-848216
50840,gossipcop-952242
51025,gossipcop-935541
51064,gossipcop-842472
51114,gossipcop-883660
51169,gossipcop-857015
51346,gossipcop-930882
51392,gossipcop-844213
51434,gossipcop-871019
51502,gossipcop-935708
51690,gossipcop-914691
51826,gossipcop-858809
51985,gossipcop-893183
52084,gossipcop-948609
52134,gossipcop-921792
52186,gossipcop-904068
52243,gossipcop-843040
52309,gossipcop-871486
52430,gossipcop-929672
52542,gossipcop-945700
52596,gossipcop-923287
52659,gossipcop-877698
52731,gossipcop-874634
52879,gossipcop-893938
52904,gossipcop-916308
52966,gossipcop-851580
53096,gossipcop-926725
53152,gossipcop-917519
53252,gossipcop-953702
53283,gossipcop-898199
53318,gossipcop-907647
53360,gossipcop-944043
53409,gossipcop-894459
53446,gossipcop-852220
53514,gossipcop-857422
53625,gossipcop-911317
53674,gossipcop-855860
53812,gossipcop-890989
53877,gossipcop-923993
53935,gossipcop-908024
54025,gossipcop-864881
54143,gossipcop-829853
54315,gossipcop-943600
54398,gossipcop-845755
54505,gossipcop-918717
54557,gossipcop-901375
54625,gossipcop-913509
54675,gossipcop-899318
54831,gossipcop-904005
54845,gossipcop-926311
54961,gossipcop-859799
55015,gossipcop-855200
55152,gossipcop-859569
55216,gossipcop-881487
55336,gossipcop-882342
55493,gossipcop-916192
55630,gossipcop-924649
55697,gossipcop-911330
55791,gossipcop-877834
55819,gossipcop-887861
55864,gossipcop-861036
55934,gossipcop-901833
56072,gossipcop-875795
56200,gossipcop-894830
56284,gossipcop-870246
56401,gossipcop-940713
56426,gossipcop-846245
56476,gossipcop-849246
56505,gossipcop-894319
56538,gossipcop-909632
56586,gossipcop-921268
56685,gossipcop-912350
56719,gossipcop-857396
56762,gossipcop-935256
56783,gossipcop-859219
56912,gossipcop-898381
56945,gossipcop-918818
57001,gossipcop-866632
57115,gossipcop-910943
57145,gossipcop-941846
57202,gossipcop-867293
57313,gossipcop-927541
57364,gossipcop-951488
57416,gossipcop-925170
57471,gossipcop-915212
57529,gossipcop-894923
57629,gossipcop-917844
57783,gossipcop-921510
57878,gossipcop-850363
58051,gossipcop-867651
58108,gossipcop-881531
58166,gossipcop-922272
58281,gossipcop-931886
58358,gossipcop-906005
58484,gossipcop-923048
58533,gossipcop-927036
58564,gossipcop-847572
58630,gossipcop-852648
58730,gossipcop-922722
58860,gossipcop-914262
58985,gossipcop-860307
59071,gossipcop-870395
59163,gossipcop-851640
59313,gossipcop-892883
59438,gossipcop-861158
59482,gossipcop-871360
59520,gossipcop-883072
59673,gossipcop-848189
59740,gossipcop-942097
59754,gossipcop-953994
59812,gossipcop-931640
59882,gossipcop-869619
60059,gossipcop-950960
60073,gossipcop-942491
60097,gossipcop-870934
60130,gossipcop-924584
60224,gossipcop-946655
60345,gossipcop-875935
60461,gossipcop-846374
60555,gossipcop-916466
60582,gossipcop-857971
60727,gossipcop-924665
60787,gossipcop-926243
60881,gossipcop-905462
60952,gossipcop-930270
61031,gossipcop-866078
61204,gossipcop-900310
61249,gossipcop-955345
61331,gossipcop-922262
61483,gossipcop-925901
61486,gossipcop-939995
61490,gossipcop-856808
61555,gossipcop-906788
61617,gossipcop-940898
61668,gossipcop-907442
61699,gossipcop-844955
61849,gossipcop-935340
61897,gossipcop-883519
62000,gossipcop-898318
62165,gossipcop-844045
62254,gossipcop-869842
62366,gossipcop-897713
62475,gossipcop-953226
62484,gossipcop-932542
62593,gossipcop-843462
62682,gossipcop-874282
62759,gossipcop-888556
62814,gossipcop-886177
62954,gossipcop-681826
63042,gossipcop-914729
63140,gossipcop-922485
63190,gossipcop-935952
63211,gossipcop-847008
63323,gossipcop-905175
63342,gossipcop-923795
63392,gossipcop-926697
63468,gossipcop-940303
63512,gossipcop-936913
63529,gossipcop-903281
63609,gossipcop-887730
63661,gossipcop-936852
63681,gossipcop-843160
63797,gossipcop-913303
63839,gossipcop-944858
63902,gossipcop-911059
63953,gossipcop-948515
64032,gossipcop-856694
64093,gossipcop-853754
64174,gossipcop-885419
64260,gossipcop-898322
64292,gossipcop-843751
64367,gossipcop-843417
64488,gossipcop-877019
64663,gossipcop-948471
64757,gossipcop-884084
64849,gossipcop-910283
64904,gossipcop-925732
64925,gossipcop-938610
64973,gossipcop-905738
65001,gossipcop-875882
65172,gossipcop-872341
65282,gossipcop-903971
65328,gossipcop-889444
65403,gossipcop-938046
65424,gossipcop-861181
65477,gossipcop-951772
65516,gossipcop-934221
65658,gossipcop-855786
65733,gossipcop-904174
65833,gossipcop-852548
66001,gossipcop-927437
66113,gossipcop-844102
66188,gossipcop-900720
66269,gossipcop-843526
66351,gossipcop-892849
66384,gossipcop-929896
66434,gossipcop-897627
66480,gossipcop-952712
66542,gossipcop-925061
66603,gossipcop-902631
66693,gossipcop-914694
66802,gossipcop-943314
66856,gossipcop-927379
66975,gossipcop-845754
67061,gossipcop-889422
67113,gossipcop-908025
67237,gossipcop-871858
67293,gossipcop-928477
67459,gossipcop-875313
67536,gossipcop-889175
67634,gossipcop-847225
67750,gossipcop-914308
67806,gossipcop-843711
67885,gossipcop-850948
67928,gossipcop-938984
67996,gossipcop-931426
68101,gossipcop-874890
68180,gossipcop-940923
68251,gossipcop-852674
68395,gossipcop-891944
68417,gossipcop-849016
68499,gossipcop-860730
68556,gossipcop-887805
68560,gossipcop-911867
68611,gossipcop-952610
68699,gossipcop-946419
68787,gossipcop-867403
68819,gossipcop-908207
68879,gossipcop-924387
68975,gossipcop-886135
69061,gossipcop-851978
69249,gossipcop-906231
69255,gossipcop-905312
69314,gossipcop-902592
69353,gossipcop-871680
69482,gossipcop-936798
69524,gossipcop-850005
69573,gossipcop-893535
69650,gossipcop-925565
69733,gossipcop-896915
69786,gossipcop-904134
69850,gossipcop-921493
69941,gossipcop-906530
69975,gossipcop-914249
70051,gossipcop-899446
70080,gossipcop-907069
70167,gossipcop-887474
70222,gossipcop-857434
70302,gossipcop-884447
70388,gossipcop-923990
70493,gossipcop-883571
70549,gossipcop-856611
70673,gossipcop-875325
70720,gossipcop-862944
70785,gossipcop-931456
70838,gossipcop-947371
70902,gossipcop-855734
70965,gossipcop-896303
70972,gossipcop-855240
71059,gossipcop-940906
71118,gossipcop-860315
71263,gossipcop-893231
71354,gossipcop-939129
71380,gossipcop-919811
71465,gossipcop-955341
71524,gossipcop-897772
71582,gossipcop-917631
71615,gossipcop-896600
71707,gossipcop-852414
71758,gossipcop-936568
71802,gossipcop-939340
71979,gossipcop-944134
72021,gossipcop-914591
72132,gossipcop-862294
72227,gossipcop-888499
72268,gossipcop-863469
72334,gossipcop-854236
72408,gossipcop-915309
72452,gossipcop-896779
72481,gossipcop-923258
72535,gossipcop-899422
72578,gossipcop-852762
72672,gossipcop-858907
72764,gossipcop-863140
72767,gossipcop-888351
72818,gossipcop-874426
72857,gossipcop-946439
72924,gossipcop-877384
73002,gossipcop-954940
73059,gossipcop-937095
73133,gossipcop-877207
73207,gossipcop-879036
73347,gossipcop-934030
73406,gossipcop-844273
73470,gossipcop-875194
73549,gossipcop-857227
73651,gossipcop-915879
73698,gossipcop-921083
73750,gossipcop-868583
73808,gossipcop-951967
73942,gossipcop-849347
73994,gossipcop-903965
74063,gossipcop-912813
74082,gossipcop-859934
74166,gossipcop-930710
74269,gossipcop-941090
74382,gossipcop-894699
74434,gossipcop-953836
74570,gossipcop-903622
74614,gossipcop-902409
74680,gossipcop-943480
74750,gossipcop-906953
74798,gossipcop-890899
74856,gossipcop-898585
74895,gossipcop-843667
74968,gossipcop-860261
75098,gossipcop-852538
75204,gossipcop-865394
75290,gossipcop-863029
75403,gossipcop-868355
75432,gossipcop-769474
75533,gossipcop-908736
75566,gossipcop-847045
75651,gossipcop-865476
75736,gossipcop-953058
75753,gossipcop-846331
75855,gossipcop-899179
75928,gossipcop-928091
75986,gossipcop-949525
76009,gossipcop-903778
76066,gossipcop-896260
76148,gossipcop-890584
76232,gossipcop-904194
76406,gossipcop-874218
76445,gossipcop-873308
76537,gossipcop-884281
76592,gossipcop-846672
76635,gossipcop-855024
76745,gossipcop-880670
76874,gossipcop-909035
76962,gossipcop-923158
77018,gossipcop-900516
77040,gossipcop-952770
77073,gossipcop-864663
77175,gossipcop-942422
77179,gossipcop-874312
77250,gossipcop-857140
77359,gossipcop-897232
77405,gossipcop-679264
77446,gossipcop-905674
77533,gossipcop-904298
77613,gossipcop-915660
77672,gossipcop-922033
77767,gossipcop-846843
77873,gossipcop-889412
77899,gossipcop-927095
77989,gossipcop-940090
78009,gossipcop-942728
78109,gossipcop-850193
78162,gossipcop-924503
78279,gossipcop-898052
78337,gossipcop-863679
78437,gossipcop-855274
78491,gossipcop-944829
78600,gossipcop-844274
78666,gossipcop-906101
78818,gossipcop-859340
78862,gossipcop-946635
78929,gossipcop-884955
78983,gossipcop-951133
79133,gossipcop-906303
79271,gossipcop-920768
79351,gossipcop-877732
79392,gossipcop-924603
79470,gossipcop-914094
79563,gossipcop-897178
79648,gossipcop-952009
79740,gossipcop-908739
79763,gossipcop-887158
79929,gossipcop-891478
79982,gossipcop-943991
80020,gossipcop-907900
80034,gossipcop-871790
80220,gossipcop-866345
80312,gossipcop-897813
80496,gossipcop-858851
80644,gossipcop-912339
80806,gossipcop-849377
80887,gossipcop-942770
80977,gossipcop-915133
81089,gossipcop-884189
81279,gossipcop-856476
81340,gossipcop-849110
81398,gossipcop-845722
81471,gossipcop-897789
81554,gossipcop-894543
81635,gossipcop-904984
81706,gossipcop-858648
81759,gossipcop-913165
81762,gossipcop-855434
81856,gossipcop-940521
81966,gossipcop-851738
82039,gossipcop-924476
82173,gossipcop-955414
82202,gossipcop-864627
82303,gossipcop-860239
82416,gossipcop-882262
82482,gossipcop-911780
82515,gossipcop-920508
82580,gossipcop-894490
82648,gossipcop-885598
82732,gossipcop-872067
82832,gossipcop-953074
82893,gossipcop-891582
82994,gossipcop-878460
83024,gossipcop-903816
83061,gossipcop-943204
83117,gossipcop-887038
83200,gossipcop-844748
83297,gossipcop-880121
83319,gossipcop-902305
83378,gossipcop-861583
83508,gossipcop-857107
83604,gossipcop-869566
83683,gossipcop-849423
83874,gossipcop-917536
83918,gossipcop-938993
83979,gossipcop-846364
84087,gossipcop-866429
84175,gossipcop-862547
84231,gossipcop-940162
84325,gossipcop-955795
84386,gossipcop-918272
84453,gossipcop-947791
84488,gossipcop-912172
84679,gossipcop-906256
84786,gossipcop-870676
84860,gossipcop-913109
84956,gossipcop-853292
84959,gossipcop-846346
85015,gossipcop-893939
85200,gossipcop-924248
85229,gossipcop-923782
85283,gossipcop-918535
85317,gossipcop-856935
85452,gossipcop-919885
85571,gossipcop-904841
85685,gossipcop-886596
85731,gossipcop-861470
85809,gossipcop-952940
85865,gossipcop-943284
85935,gossipcop-896507
85985,gossipcop-856687
86088,gossipcop-854590
86131,gossipcop-881664
86229,gossipcop-903610
86277,gossipcop-938350
86463,gossipcop-955091
86600,gossipcop-922859
86668,gossipcop-922134
86700,gossipcop-857456
86774,gossipcop-867684
86857,gossipcop-847712
86952,gossipcop-844552
86987,gossipcop-844775
87156,gossipcop-942572
87214,gossipcop-943721
87263,gossipcop-845542
87355,gossipcop-891529
87412,gossipcop-872779
87507,gossipcop-943610
87620,gossipcop-843402
87686,gossipcop-920329
87752,gossipcop-950451
87828,gossipcop-876712
87938,gossipcop-898241
87961,gossipcop-892833
87983,gossipcop-850736
88058,gossipcop-843718
88233,gossipcop-849821
88317,gossipcop-868578
88396,gossipcop-842986
88500,gossipcop-935140
88546,gossipcop-871845
88581,gossipcop-936046
88620,gossipcop-949889
88646,gossipcop-906183
88696,gossipcop-853924
88742,gossipcop-843997
88863,gossipcop-856731
88955,gossipcop-907738
89098,gossipcop-887127
89219,gossipcop-920055
89238,gossipcop-865716
89318,gossipcop-884433
89354,gossipcop-869136
89452,gossipcop-910067
89516,gossipcop-848286
89670,gossipcop-935421
89717,gossipcop-884121
89818,gossipcop-858346
89879,gossipcop-941762
89900,gossipcop-852166
89991,gossipcop-870049
90124,gossipcop-904777
90170,gossipcop-846637
90226,gossipcop-866480
90287,gossipcop-852944
90364,gossipcop-858829
90451,gossipcop-941359
90481,gossipcop-846792
90526,gossipcop-901352
